Programa Bolsa Família (PBF) - número de benefícios em dezembro
Sigla,Código,Município,2024,
AC,1200013,Acrelândia,2293,
AC,1200054,Assis Brasil,1821,
AC,1200104,Brasiléia,4745,
AC,1200138,Bujari,1991,
AC,1200179,Capixaba,1975,
AC,1200203,Cruzeiro do Sul,14819,
AC,1200252,Epitaciolândia,2640,
AC,1200302,Feijó,5802,
AC,1200328,Jordão,1809,
AC,1200336,Mâncio Lima,4507,
AC,1200344,Manoel Urbano,2600,
AC,1200351,Marechal Thaumaturgo,3754,
AC,1200385,Plácido de Castro,2377,
AC,1200393,Porto Walter,2106,
AC,1200401,Rio Branco,44780,
AC,1200427,Rodrigues Alves,3160,
AC,1200435,Santa Rosa do Purus,1177,
AC,1200450,Senador Guiomard,3470,
AC,1200500,Sena Madureira,9326,
AC,1200609,Tarauacá,9440,
AC,1200708,Xapuri,2960,
AC,1200807,Porto Acre,4195,
AL,2700102,Água Branca,3350,
AL,2700201,Anadia,3478,
AL,2700300,Arapiraca,30225,
AL,2700409,Atalaia,6929,
AL,2700508,Barra de Santo Antônio,3791,
AL,2700607,Barra de São Miguel,1379,
AL,2700706,Batalha,4600,
AL,2700805,Belém,897,
AL,2700904,Belo Monte,1673,
AL,2701001,Boca da Mata,5309,
AL,2701100,Branquinha,2169,
AL,2701209,Cacimbinhas,1867,
AL,2701308,Cajueiro,4063,
AL,2701357,Campestre,1588,
AL,2701407,Campo Alegre,5393,
AL,2701506,Campo Grande,2588,
AL,2701605,Canapi,3876,
AL,2701704,Capela,2157,
AL,2701803,Carneiros,2154,
AL,2701902,Chã Preta,2051,
AL,2702009,Coité do Nóia,2118,
AL,2702108,Colônia Leopoldina,4628,
AL,2702207,Coqueiro Seco,1015,
AL,2702306,Coruripe,8518,
AL,2702355,Craíbas,5574,
AL,2702405,Delmiro Gouveia,8920,
AL,2702504,Dois Riachos,2858,
AL,2702553,Estrela de Alagoas,3147,
AL,2702603,Feira Grande,4986,
AL,2702702,Feliz Deserto,762,
AL,2702801,Flexeiras,2435,
AL,2702900,Girau do Ponciano,7706,
AL,2703007,Ibateguara,2682,
AL,2703106,Igaci,4748,
AL,2703205,Igreja Nova,4050,
AL,2703304,Inhapi,3951,
AL,2703403,Jacaré dos Homens,1330,
AL,2703502,Jacuípe,1143,
AL,2703601,Japaratinga,2734,
AL,2703700,Jaramataia,1115,
AL,2703759,Jequiá da Praia,3009,
AL,2703809,Joaquim Gomes,4298,
AL,2703908,Jundiá,993,
AL,2704005,Junqueiro,4418,
AL,2704104,Lagoa da Canoa,4507,
AL,2704203,Limoeiro de Anadia,5932,
AL,2704302,Maceió,105062,
AL,2704401,Major Isidoro,3517,
AL,2704500,Maragogi,6876,
AL,2704609,Maravilha,2656,
AL,2704708,Marechal Deodoro,8955,
AL,2704807,Maribondo,2244,
AL,2704906,Mar Vermelho,675,
AL,2705002,Mata Grande,4260,
AL,2705101,Matriz de Camaragibe,4478,
AL,2705200,Messias,2333,
AL,2705309,Minador do Negrão,1035,
AL,2705408,Monteirópolis,1789,
AL,2705507,Murici,4433,
