População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,2010,
AC,1200013,Acrelândia,5094,
AC,1200054,Assis Brasil,2151,
AC,1200104,Brasiléia,8547,
AC,1200138,Bujari,3345,
AC,1200179,Capixaba,4038,
AC,1200203,Cruzeiro do Sul,30252,
AC,1200252,Epitaciolândia,6585,
AC,1200302,Feijó,11033,
AC,1200328,Jordão,1804,
AC,1200336,Mâncio Lima,5115,
AC,1200344,Manoel Urbano,2980,
AC,1200351,Marechal Thaumaturgo,5275,
AC,1200385,Plácido de Castro,5920,
AC,1200393,Porto Walter,3486,
AC,1200401,Rio Branco,154286,
AC,1200427,Rodrigues Alves,4779,
AC,1200435,Santa Rosa do Purus,1248,
AC,1200450,Senador Guiomard,8289,
AC,1200500,Sena Madureira,15941,
AC,1200609,Tarauacá,11961,
AC,1200708,Xapuri,6895,
AC,1200807,Porto Acre,4640,
AL,2700102,Água Branca,8769,
AL,2700201,Anadia,5203,
AL,2700300,Arapiraca,93089,
AL,2700409,Atalaia,13200,
AL,2700508,Barra de Santo Antônio,4637,
AL,2700607,Barra de São Miguel,3397,
AL,2700706,Batalha,6789,
AL,2700805,Belém,2196,
AL,2700904,Belo Monte,2297,
AL,2701001,Boca da Mata,9000,
AL,2701100,Branquinha,3419,
AL,2701209,Cacimbinhas,3574,
AL,2701308,Cajueiro,5712,
AL,2701357,Campestre,2038,
AL,2701407,Campo Alegre,13317,
AL,2701506,Campo Grande,3446,
AL,2701605,Canapi,6727,
AL,2701704,Capela,5503,
AL,2701803,Carneiros,3593,
AL,2701902,Chã Preta,2271,
AL,2702009,Coité do Nóia,4437,
AL,2702108,Colônia Leopoldina,6332,
AL,2702207,Coqueiro Seco,1934,
AL,2702306,Coruripe,20530,
AL,2702355,Craíbas,9723,
AL,2702405,Delmiro Gouveia,18689,
AL,2702504,Dois Riachos,4440,
AL,2702553,Estrela de Alagoas,8288,
AL,2702603,Feira Grande,9227,
AL,2702702,Feliz Deserto,1710,
AL,2702801,Flexeiras,4058,
AL,2702900,Girau do Ponciano,15502,
AL,2703007,Ibateguara,3395,
AL,2703106,Igaci,10464,
AL,2703205,Igreja Nova,7506,
AL,2703304,Inhapi,6145,
AL,2703403,Jacaré dos Homens,2059,
AL,2703502,Jacuípe,2410,
AL,2703601,Japaratinga,2749,
AL,2703700,Jaramataia,2230,
AL,2703759,Jequiá da Praia,3672,
AL,2703809,Joaquim Gomes,6847,
AL,2703908,Jundiá,1350,
AL,2704005,Junqueiro,9711,
AL,2704104,Lagoa da Canoa,7256,
AL,2704203,Limoeiro de Anadia,10019,
AL,2704302,Maceió,443979,
AL,2704401,Major Isidoro,7579,
AL,2704500,Maragogi,10470,
AL,2704609,Maravilha,4568,
AL,2704708,Marechal Deodoro,18204,
AL,2704807,Maribondo,4803,
AL,2704906,Mar Vermelho,1457,
AL,2705002,Mata Grande,10114,
AL,2705101,Matriz de Camaragibe,7283,
AL,2705200,Messias,4798,
AL,2705309,Minador do Negrão,2174,
AL,2705408,Monteirópolis,2660,
AL,2705507,Murici,7785,
AL,2705606,Novo Lino,3738,
AL,2705705,Olho d'Água das Flores,8825,
AL,2705804,Olho d'Água do Casado,3554,
AL,2705903,Olho d'Água Grande,1989,
