PIB Municipal (valor adicionado a preços básicos) - agropecuária (preços de 2010)
Sigla,Código,Município,2021,
AC,1200013,Acrelândia,73689.2650658964,
AC,1200054,Assis Brasil,20917.634631142,
AC,1200104,Brasiléia,86697.3169880434,
AC,1200138,Bujari,78823.211633031,
AC,1200179,Capixaba,159787.201494547,
AC,1200203,Cruzeiro do Sul,46847.3791269253,
AC,1200252,Epitaciolândia,75106.9588033385,
AC,1200302,Feijó,80691.3744045961,
AC,1200328,Jordão,10259.0237957735,
AC,1200336,Mâncio Lima,24918.639907275,
AC,1200344,Manoel Urbano,26003.033240195,
AC,1200351,Marechal Thaumaturgo,26336.8004520063,
AC,1200385,Plácido de Castro,144414.303845077,
AC,1200393,Porto Walter,11937.6628079044,
AC,1200401,Rio Branco,217034.113411309,
AC,1200427,Rodrigues Alves,25728.5505541179,
AC,1200435,Santa Rosa do Purus,12017.9536616548,
AC,1200450,Senador Guiomard,182624.347699071,
AC,1200500,Sena Madureira,97865.6813832693,
AC,1200609,Tarauacá,82316.3305784636,
AC,1200708,Xapuri,92997.8149710053,
AC,1200807,Porto Acre,121169.63487704,
AL,2700102,Água Branca,15919.5289851782,
AL,2700201,Anadia,40617.8358519288,
AL,2700300,Arapiraca,541245.78001178,
AL,2700409,Atalaia,414556.148939398,
AL,2700508,Barra de Santo Antônio,50136.9700942464,
AL,2700607,Barra de São Miguel,19714.6722467534,
AL,2700706,Batalha,15763.6153505699,
AL,2700805,Belém,64232.2161930487,
AL,2700904,Belo Monte,35827.4594496798,
AL,2701001,Boca da Mata,101744.38314962,
AL,2701100,Branquinha,307500.43245273,
AL,2701209,Cacimbinhas,21423.6537326854,
AL,2701308,Cajueiro,17812.8993503626,
AL,2701357,Campestre,13882.8487821951,
AL,2701407,Campo Alegre,70117.2556885811,
AL,2701506,Campo Grande,10171.2640253951,
AL,2701605,Canapi,10199.7392700391,
AL,2701704,Capela,33752.0342416892,
AL,2701803,Carneiros,4979.43335439393,
AL,2701902,Chã Preta,52696.0076538964,
AL,2702009,Coité do Nóia,51791.8019346257,
AL,2702108,Colônia Leopoldina,93975.776241977,
AL,2702207,Coqueiro Seco,19070.0113803038,
AL,2702306,Coruripe,288709.571831396,
AL,2702355,Craíbas,38611.4981227468,
AL,2702405,Delmiro Gouveia,19686.6638093986,
AL,2702504,Dois Riachos,11337.8154412224,
AL,2702553,Estrela de Alagoas,15938.6680840374,
AL,2702603,Feira Grande,112041.218335822,
AL,2702702,Feliz Deserto,40831.6335904038,
AL,2702801,Flexeiras,88405.3648593968,
AL,2702900,Girau do Ponciano,102756.421352706,
AL,2703007,Ibateguara,39474.6248005638,
AL,2703106,Igaci,53730.9194141563,
AL,2703205,Igreja Nova,115168.360366485,
AL,2703304,Inhapi,17333.9550715956,
AL,2703403,Jacaré dos Homens,10800.9870585888,
AL,2703502,Jacuípe,63453.5816345853,
AL,2703601,Japaratinga,47741.3150858326,
AL,2703700,Jaramataia,14521.4411538845,
AL,2703759,Jequiá da Praia,115170.694402932,
AL,2703809,Joaquim Gomes,160387.515668518,
AL,2703908,Jundiá,7899.31294863168,
AL,2704005,Junqueiro,134542.730099378,
AL,2704104,Lagoa da Canoa,52586.3079409235,
AL,2704203,Limoeiro de Anadia,184815.541114795,
AL,2704302,Maceió,147364.992720405,
AL,2704401,Major Isidoro,42005.6539228591,
AL,2704500,Maragogi,221201.302082414,
AL,2704609,Maravilha,9957.46628692012,
AL,2704708,Marechal Deodoro,81955.9553511652,
AL,2704807,Maribondo,19417.3160035033,
AL,2704906,Mar Vermelho,8870.2721102647,
AL,2705002,Mata Grande,78658.428659927,
AL,2705101,Matriz de Camaragibe,45123.4598077374,
AL,2705200,Messias,15555.8861068551,
AL,2705309,Minador do Negrão,12871.7441936869,
AL,2705408,Monteirópolis,4336.63971710131,
AL,2705507,Murici,150397.372871351,
AL,2705606,Novo Lino,40390.0338947765,
AL,2705705,Olho d'Água das Flores,14509.7709716534,
