PIB Municipal (valor adicionado a preços básicos) - indústria (preços de 2010)
Sigla,Código,Município,2021,
AC,1200013,Acrelândia,6273.42316018562,
AC,1200054,Assis Brasil,1841.08794878876,
AC,1200104,Brasiléia,21211.7232233674,
AC,1200138,Bujari,3916.97996406857,
AC,1200179,Capixaba,6134.78139527937,
AC,1200203,Cruzeiro do Sul,78295.2525888931,
AC,1200252,Epitaciolândia,10521.8362996193,
AC,1200302,Feijó,11404.5688835847,
AC,1200328,Jordão,1148.34593154674,
AC,1200336,Mâncio Lima,6376.12076381989,
AC,1200344,Manoel Urbano,5336.54093066761,
AC,1200351,Marechal Thaumaturgo,2784.03867306697,
AC,1200385,Plácido de Castro,8142.98635361843,
AC,1200393,Porto Walter,2013.80664581001,
AC,1200401,Rio Branco,411039.689629503,
AC,1200427,Rodrigues Alves,3427.29911764885,
AC,1200435,Santa Rosa do Purus,1054.98447369741,
AC,1200450,Senador Guiomard,14275.9005197408,
AC,1200500,Sena Madureira,16965.64412038,
AC,1200609,Tarauacá,10930.7594849994,
AC,1200708,Xapuri,10938.6952089166,
AC,1200807,Porto Acre,6338.30937339091,
AL,2700102,Água Branca,3220.97029580183,
AL,2700201,Anadia,6569.378981568,
AL,2700300,Arapiraca,217839.822792549,
AL,2700409,Atalaia,43289.8407755766,
AL,2700508,Barra de Santo Antônio,6150.18603582451,
AL,2700607,Barra de São Miguel,13415.10787837,
AL,2700706,Batalha,5491.98775798675,
AL,2700805,Belém,2116.97105673352,
AL,2700904,Belo Monte,7639.3012885213,
AL,2701001,Boca da Mata,19577.4309037149,
AL,2701100,Branquinha,4969.16359403051,
AL,2701209,Cacimbinhas,2272.8846913419,
AL,2701308,Cajueiro,2548.30099199742,
AL,2701357,Campestre,859.859026792315,
AL,2701407,Campo Alegre,47044.3718029874,
AL,2701506,Campo Grande,2407.79199793418,
AL,2701605,Canapi,1674.43774652771,
AL,2701704,Capela,3213.96818646313,
AL,2701803,Carneiros,1171.68629600907,
AL,2701902,Chã Preta,1375.21427412061,
AL,2702009,Coité do Nóia,1926.04687543165,
AL,2702108,Colônia Leopoldina,8645.73780413706,
AL,2702207,Coqueiro Seco,959.755786691096,
AL,2702306,Coruripe,169291.864710898,
AL,2702355,Craíbas,70147.1313550929,
AL,2702405,Delmiro Gouveia,19707.2033301255,
AL,2702504,Dois Riachos,1136.67574931557,
AL,2702553,Estrela de Alagoas,1890.10271415965,
AL,2702603,Feira Grande,6013.41150007524,
AL,2702702,Feliz Deserto,12027.756614729,
AL,2702801,Flexeiras,3252.7131914706,
AL,2702900,Girau do Ponciano,6288.36099344152,
AL,2703007,Ibateguara,1986.73182303371,
AL,2703106,Igaci,3319.46663383287,
AL,2703205,Igreja Nova,38946.6657564258,
AL,2703304,Inhapi,1876.5653027715,
AL,2703403,Jacaré dos Homens,935.481807650271,
AL,2703502,Jacuípe,1532.06152330748,
AL,2703601,Japaratinga,3034.71418739242,
AL,2703700,Jaramataia,926.612469154585,
AL,2703759,Jequiá da Praia,9227.37968653838,
AL,2703809,Joaquim Gomes,5845.36087594645,
AL,2703908,Jundiá,866.394328841768,
AL,2704005,Junqueiro,8246.15076454193,
AL,2704104,Lagoa da Canoa,5182.02771792698,
AL,2704203,Limoeiro de Anadia,13067.3364478813,
AL,2704302,Maceió,2056882.68884712,
AL,2704401,Major Isidoro,3523.46141923366,
AL,2704500,Maragogi,15295.8744467447,
AL,2704609,Maravilha,1001.30163543405,
AL,2704708,Marechal Deodoro,603109.416019191,
AL,2704807,Maribondo,2713.08396510148,
AL,2704906,Mar Vermelho,878.998125651427,
AL,2705002,Mata Grande,3204.6320406782,
AL,2705101,Matriz de Camaragibe,23465.9356231395,
AL,2705200,Messias,14673.620330179,
AL,2705309,Minador do Negrão,686.206715192564,
AL,2705408,Monteirópolis,3280.25482153615,
AL,2705507,Murici,11614.1653564565,
AL,2705606,Novo Lino,1879.36614650698,
AL,2705705,Olho d'Água das Flores,6416.2661906951,
AL,2705804,Olho d'Água do Casado,1039.11302586303,
AL,2705903,Olho d'Água Grande,660.532314283999,
AL,2706000,Olivença,1392.95295111198,
AL,2706109,Ouro Branco,1389.21849279801,
AL,2706208,Palestina,608.249897888375,
AL,2706307,Palmeira dos Índios,43366.8639783023,
AL,2706406,Pão de Açúcar,6567.51175241101,
AL,2706422,Pariconha,2046.01634876803,
AL,2706448,Paripueira,24700.6409031968,
AL,2706505,Passo de Camaragibe,3381.08519601343,
AL,2706604,Paulo Jacinto,1419.56096659904,
AL,2706703,Penedo,21547.824471625,
AL,2706802,Piaçabuçu,4516.82733075051,
AL,2706901,Pilar,51336.6648276102,
AL,2707008,Pindoba,402.854690619852,
AL,2707107,Piranhas,7281.26009766912,
AL,2707206,Poço das Trincheiras,1304.72637344436,
AL,2707305,Porto Calvo,16530.1129195128,
AL,2707404,Porto de Pedras,7591.22013772889,
AL,2707503,Porto Real do Colégio,2533.82996603077,
AL,2707602,Quebrangulo,2970.29478147638,
AL,2707701,Rio Largo,100908.798101868,
AL,2707800,Roteiro,1613.2859916364,
AL,2707909,Santa Luzia do Norte,46537.8858941547,
AL,2708006,Santana do Ipanema,14422.011201275,
AL,2708105,Santana do Mundaú,9033.18785421177,
AL,2708204,São Brás,2819.98283433897,
AL,2708303,São José da Laje,73300.8814012432,
AL,2708402,São José da Tapera,7038.98711455012,
AL,2708501,São Luís do Quitunde,85613.3904624127,
AL,2708600,São Miguel dos Campos,188734.85511531,
AL,2708709,São Miguel dos Milagres,2467.54333095775,
AL,2708808,São Sebastião,9139.15310887076,
AL,2708907,Satuba,23937.4109852786,
AL,2708956,Senador Rui Palmeira,1066.18784863933,
AL,2709004,Tanque d'Arca,708.613465076403,
AL,2709103,Taquarana,8660.20883010371,
AL,2709152,Teotônio Vilela,19817.8366576769,
AL,2709202,Traipu,4078.96209343716,
AL,2709301,União dos Palmares,52208.660843923,
AL,2709400,Viçosa,10552.6455807096,
AM,1300029,Alvarães,4776.37218357164,
AM,1300060,Amaturá,2416.66133642987,
AM,1300086,Anamã,3100.06720788695,
AM,1300102,Anori,4811.38273026514,
AM,1300144,Apuí,11543.210648491,
AM,1300201,Atalaia do Norte,2481.54754963515,
AM,1300300,Autazes,14930.8311465538,
