PIB Municipal (valor adicionado a preços básicos) - serviços - administração, defesa, educação e saúde públicas e seguridade social (preços de 2010)
Sigla,Código,Município,2021,
AC,1200013,Acrelândia,53641.2924146209,
AC,1200054,Assis Brasil,28935.5166312424,
AC,1200104,Brasiléia,94814.162133464,
AC,1200138,Bujari,38187.6371041108,
AC,1200179,Capixaba,44126.3594379066,
AC,1200203,Cruzeiro do Sul,325085.52984594,
AC,1200252,Epitaciolândia,66853.8059294579,
AC,1200302,Feijó,116175.26368939,
AC,1200328,Jordão,34396.2283008496,
AC,1200336,Mâncio Lima,68939.0340905226,
AC,1200344,Manoel Urbano,35000.743740424,
AC,1200351,Marechal Thaumaturgo,75428.1222183402,
AC,1200385,Plácido de Castro,69781.1544403236,
AC,1200393,Porto Walter,49009.1636834265,
AC,1200401,Rio Branco,1376818.22396646,
AC,1200427,Rodrigues Alves,73860.1165337607,
AC,1200435,Santa Rosa do Purus,30301.8615668673,
AC,1200450,Senador Guiomard,82078.7256682371,
AC,1200500,Sena Madureira,150649.915614833,
AC,1200609,Tarauacá,150655.984109594,
AC,1200708,Xapuri,66390.7330985252,
AC,1200807,Porto Acre,65334.34820296,
AL,2700102,Água Branca,50635.987086451,
AL,2700201,Anadia,43424.7480821689,
AL,2700300,Arapiraca,444677.822892616,
AL,2700409,Atalaia,117500.996390851,
AL,2700508,Barra de Santo Antônio,41209.2806874043,
AL,2700607,Barra de São Miguel,23290.4160823827,
AL,2700706,Batalha,48021.3994593806,
AL,2700805,Belém,14297.8404623354,
AL,2700904,Belo Monte,18652.2188564281,
AL,2701001,Boca da Mata,61014.5135482716,
AL,2701100,Branquinha,25937.2134124112,
AL,2701209,Cacimbinhas,26629.0218150747,
AL,2701308,Cajueiro,51795.5363929397,
AL,2701357,Campestre,17875.4515271217,
AL,2701407,Campo Alegre,131631.253036347,
AL,2701506,Campo Grande,25770.0964028609,
AL,2701605,Canapi,44874.1847152797,
AL,2701704,Capela,46974.3507096004,
AL,2701803,Carneiros,26108.5316875647,
AL,2701902,Chã Preta,18321.7192956415,
AL,2702009,Coité do Nóia,27853.4573347686,
AL,2702108,Colônia Leopoldina,50602.3769616253,
AL,2702207,Coqueiro Seco,17485.2006333115,
AL,2702306,Coruripe,135201.395184505,
AL,2702355,Craíbas,56300.693541459,
AL,2702405,Delmiro Gouveia,123524.677651289,
AL,2702504,Dois Riachos,25835.4494233554,
AL,2702553,Estrela de Alagoas,38177.3673437474,
AL,2702603,Feira Grande,54131.4400683299,
AL,2702702,Feliz Deserto,11266.860733257,
AL,2702801,Flexeiras,28989.1994695057,
AL,2702900,Girau do Ponciano,90352.4180628446,
AL,2703007,Ibateguara,32651.3026536456,
AL,2703106,Igaci,58908.2790591908,
AL,2703205,Igreja Nova,60601.3890972883,
AL,2703304,Inhapi,41016.9560842347,
AL,2703403,Jacaré dos Homens,16631.8769085686,
AL,2703502,Jacuípe,16897.0234488607,
