PIB Municipal - impostos, líquidos de subsídios, sobre produtos (preços de 2010)
Sigla,Código,Município,2021,
AC,1200013,Acrelândia,9862.70440720306,
AC,1200054,Assis Brasil,1202.0287698101,
AC,1200104,Brasiléia,37356.2533219625,
AC,1200138,Bujari,2231.33884259895,
AC,1200179,Capixaba,4381.92002415823,
AC,1200203,Cruzeiro do Sul,90563.4149575841,
AC,1200252,Epitaciolândia,33127.4460886772,
AC,1200302,Feijó,8257.35413948385,
AC,1200328,Jordão,851.456495585875,
AC,1200336,Mâncio Lima,2734.09029311758,
AC,1200344,Manoel Urbano,4259.61651437561,
AC,1200351,Marechal Thaumaturgo,1606.2838822977,
AC,1200385,Plácido de Castro,12495.9643258434,
AC,1200393,Porto Walter,1317.79697754327,
AC,1200401,Rio Branco,703531.800925664,
AC,1200427,Rodrigues Alves,1433.09837798719,
AC,1200435,Santa Rosa do Purus,715.148767125856,
AC,1200450,Senador Guiomard,14760.9132932681,
AC,1200500,Sena Madureira,12113.6491559504,
AC,1200609,Tarauacá,14452.353675076,
AC,1200708,Xapuri,9696.9878195205,
AC,1200807,Porto Acre,3407.22640421124,
AL,2700102,Água Branca,2994.56876051721,
AL,2700201,Anadia,3987.93467203406,
AL,2700300,Arapiraca,308953.603544155,
AL,2700409,Atalaia,22345.1313216583,
AL,2700508,Barra de Santo Antônio,2961.89225026994,
AL,2700607,Barra de São Miguel,6884.00709452023,
AL,2700706,Batalha,6078.76452056977,
AL,2700805,Belém,512.554403592813,
AL,2700904,Belo Monte,1271.58305590785,
AL,2701001,Boca da Mata,9870.64013112025,
AL,2701100,Branquinha,1024.17519260713,
AL,2701209,Cacimbinhas,1899.43885994459,
AL,2701308,Cajueiro,2663.60239244134,
AL,2701357,Campestre,802.908537504225,
AL,2701407,Campo Alegre,24576.003356968,
AL,2701506,Campo Grande,1512.92242444837,
AL,2701605,Canapi,2728.95541293587,
AL,2701704,Capela,3219.56987393409,
AL,2701803,Carneiros,1068.05507779632,
AL,2701902,Chã Preta,991.031875070621,
AL,2702009,Coité do Nóia,1762.66432419532,
AL,2702108,Colônia Leopoldina,5101.27005688731,
AL,2702207,Coqueiro Seco,602.648210417415,
AL,2702306,Coruripe,78269.1113806952,
AL,2702355,Craíbas,10067.1659998931,
AL,2702405,Delmiro Gouveia,20271.5733428247,
AL,2702504,Dois Riachos,1428.89711238397,
AL,2702553,Estrela de Alagoas,1778.06896474046,
AL,2702603,Feira Grande,2806.44542295081,
AL,2702702,Feliz Deserto,2117.90467131202,
AL,2702801,Flexeiras,1872.36403716828,
AL,2702900,Girau do Ponciano,7999.67651581971,
AL,2703007,Ibateguara,1770.60004811251,
AL,2703106,Igaci,2705.61504847354,
AL,2703205,Igreja Nova,17318.5504310504,
AL,2703304,Inhapi,2790.10716782718,
AL,2703403,Jacaré dos Homens,651.196168499066,
AL,2703502,Jacuípe,701.144548448457,
AL,2703601,Japaratinga,5138.14783273779,
AL,2703700,Jaramataia,578.37423137659,
AL,2703759,Jequiá da Praia,4080.82932259415,
AL,2703809,Joaquim Gomes,2279.41999339135,
AL,2703908,Jundiá,452.336263279996,
AL,2704005,Junqueiro,6476.95113829716,
AL,2704104,Lagoa da Canoa,2892.33796417219,
AL,2704203,Limoeiro de Anadia,11425.1084043116,
AL,2704302,Maceió,2009611.44870155,
AL,2704401,Major Isidoro,4439.33732073557,
AL,2704500,Maragogi,23203.1231192936,
AL,2704609,Maravilha,1513.38923173761,
AL,2704708,Marechal Deodoro,408229.509748238,
AL,2704807,Maribondo,4282.95687883794,
AL,2704906,Mar Vermelho,435.531200867117,
AL,2705002,Mata Grande,2848.45807898301,
AL,2705101,Matriz de Camaragibe,12865.2088916375,
AL,2705200,Messias,6202.46845222014,
AL,2705309,Minador do Negrão,671.735689225918,
AL,2705408,Monteirópolis,1718.78443900614,
AL,2705507,Murici,7943.65964111011,
AL,2705606,Novo Lino,1308.92763904758,
AL,2705705,Olho d'Água das Flores,10751.5054859287,
AL,2705804,Olho d'Água do Casado,1472.31019028391,
AL,2705903,Olho d'Água Grande,396.319388570399,
AL,2706000,Olivença,1852.29132373068,
AL,2706109,Ouro Branco,1763.13113148457,
AL,2706208,Palestina,378.580711579027,
