Taxa de desocupação da população de 18 anos ou mais de idade (Atlas DH - Censo)
Sigla,Código,Município,2010,
AC,1200013,Acrelândia,8.54,
AC,1200054,Assis Brasil,6.98,
AC,1200104,Brasiléia,5.43,
AC,1200138,Bujari,3.7,
AC,1200179,Capixaba,3.74,
AC,1200203,Cruzeiro do Sul,7.44,
AC,1200252,Epitaciolândia,6.27,
AC,1200302,Feijó,5.4,
AC,1200328,Jordão,5.79,
AC,1200336,Mâncio Lima,4.93,
AC,1200344,Manoel Urbano,2.68,
AC,1200351,Marechal Thaumaturgo,4.99,
AC,1200385,Plácido de Castro,8.19,
AC,1200393,Porto Walter,2.94,
AC,1200401,Rio Branco,8.77,
AC,1200427,Rodrigues Alves,7.06,
AC,1200435,Santa Rosa do Purus,5.3,
AC,1200450,Senador Guiomard,7.17,
AC,1200500,Sena Madureira,7.96,
AC,1200609,Tarauacá,3.72,
AC,1200708,Xapuri,3.98,
AC,1200807,Porto Acre,2.97,
AL,2700102,Água Branca,4.1,
AL,2700201,Anadia,14.21,
AL,2700300,Arapiraca,8.36,
AL,2700409,Atalaia,14.84,
AL,2700508,Barra de Santo Antônio,12.03,
AL,2700607,Barra de São Miguel,6.91,
AL,2700706,Batalha,9.11,
AL,2700805,Belém,6.28,
AL,2700904,Belo Monte,4.72,
AL,2701001,Boca da Mata,15.23,
AL,2701100,Branquinha,7.8,
AL,2701209,Cacimbinhas,7.18,
AL,2701308,Cajueiro,14.27,
AL,2701357,Campestre,13.2,
AL,2701407,Campo Alegre,24.42,
AL,2701506,Campo Grande,6.37,
AL,2701605,Canapi,4.1,
AL,2701704,Capela,10.67,
AL,2701803,Carneiros,3.73,
AL,2701902,Chã Preta,2.1,
AL,2702009,Coité do Nóia,2.38,
AL,2702108,Colônia Leopoldina,10.92,
AL,2702207,Coqueiro Seco,13.09,
AL,2702306,Coruripe,10.52,
AL,2702355,Craíbas,2.73,
AL,2702405,Delmiro Gouveia,11.94,
AL,2702504,Dois Riachos,2.97,
AL,2702553,Estrela de Alagoas,4.43,
AL,2702603,Feira Grande,2.86,
AL,2702702,Feliz Deserto,13.54,
AL,2702801,Flexeiras,12.43,
AL,2702900,Girau do Ponciano,8.41,
AL,2703007,Ibateguara,8.15,
AL,2703106,Igaci,5.44,
AL,2703205,Igreja Nova,5.06,
AL,2703304,Inhapi,3.66,
AL,2703403,Jacaré dos Homens,7.37,
AL,2703502,Jacuípe,10.45,
AL,2703601,Japaratinga,11.09,
AL,2703700,Jaramataia,8.81,
AL,2703759,Jequiá da Praia,11,
AL,2703809,Joaquim Gomes,6.65,
AL,2703908,Jundiá,6.62,
AL,2704005,Junqueiro,8.54,
AL,2704104,Lagoa da Canoa,3.29,
AL,2704203,Limoeiro de Anadia,7.79,
AL,2704302,Maceió,11.63,
AL,2704401,Major Isidoro,7.34,
AL,2704500,Maragogi,8.02,
AL,2704609,Maravilha,6.41,
AL,2704708,Marechal Deodoro,11.82,
AL,2704807,Maribondo,8.78,
AL,2704906,Mar Vermelho,9.2,
AL,2705002,Mata Grande,1.57,
AL,2705101,Matriz de Camaragibe,15.16,
AL,2705200,Messias,17.95,
AL,2705309,Minador do Negrão,7.52,
AL,2705408,Monteirópolis,14.01,
AL,2705507,Murici,15.52,
AL,2705606,Novo Lino,9.46,
AL,2705705,Olho d'Água das Flores,6.4,
AL,2705804,Olho d'Água do Casado,7.1,
AL,2705903,Olho d'Água Grande,1.67,
AL,2706000,Olivença,6.48,
AL,2706109,Ouro Branco,6.65,
AL,2706208,Palestina,8.03,
AL,2706307,Palmeira dos Índios,8.21,
AL,2706406,Pão de Açúcar,7.75,
AL,2706422,Pariconha,3.61,
AL,2706448,Paripueira,11.53,
AL,2706505,Passo de Camaragibe,9.29,
AL,2706604,Paulo Jacinto,10.86,
AL,2706703,Penedo,12.41,
AL,2706802,Piaçabuçu,13.06,
AL,2706901,Pilar,15.86,
AL,2707008,Pindoba,9.87,
AL,2707107,Piranhas,7.07,
AL,2707206,Poço das Trincheiras,6.37,
AL,2707305,Porto Calvo,10.71,
AL,2707404,Porto de Pedras,4.46,
AL,2707503,Porto Real do Colégio,13.58,
AL,2707602,Quebrangulo,5.02,
AL,2707701,Rio Largo,16.54,
AL,2707800,Roteiro,14.3,
AL,2707909,Santa Luzia do Norte,14,
AL,2708006,Santana do Ipanema,8.65,
AL,2708105,Santana do Mundaú,6.99,
AL,2708204,São Brás,7.18,
AL,2708303,São José da Laje,9.84,
AL,2708402,São José da Tapera,4.33,
AL,2708501,São Luís do Quitunde,12.46,
AL,2708600,São Miguel dos Campos,19.76,
AL,2708709,São Miguel dos Milagres,11.59,
AL,2708808,São Sebastião,9.06,
AL,2708907,Satuba,13.34,
AL,2708956,Senador Rui Palmeira,1.36,
AL,2709004,Tanque d'Arca,4.8,
AL,2709103,Taquarana,4.28,
AL,2709152,Teotônio Vilela,14.18,
AL,2709202,Traipu,3.71,
AL,2709301,União dos Palmares,11.99,
AL,2709400,Viçosa,17.59,
AM,1300029,Alvarães,3.46,
AM,1300060,Amaturá,8.87,
AM,1300086,Anamã,7.72,
AM,1300102,Anori,8.92,
AM,1300144,Apuí,6.54,
AM,1300201,Atalaia do Norte,8.06,
AM,1300300,Autazes,5.34,
AM,1300409,Barcelos,18.92,
AM,1300508,Barreirinha,11.26,
AM,1300607,Benjamin Constant,5.97,
AM,1300631,Beruri,5.9,
AM,1300680,Boa Vista do Ramos,6.95,
AM,1300706,Boca do Acre,7.73,
AM,1300805,Borba,9.96,
AM,1300839,Caapiranga,4.83,
AM,1300904,Canutama,4.6,
AM,1301001,Carauari,3.92,
AM,1301100,Careiro,6.89,
AM,1301159,Careiro da Várzea,4.44,
AM,1301209,Coari,11.48,
AM,1301308,Codajás,8.92,
AM,1301407,Eirunepé,7.63,
AM,1301506,Envira,11.55,
AM,1301605,Fonte Boa,5.96,
AM,1301654,Guajará,3.76,
AM,1301704,Humaitá,9.09,
AM,1301803,Ipixuna,5.39,
AM,1301852,Iranduba,6.08,
AM,1301902,Itacoatiara,8.72,
AM,1301951,Itamarati,6.74,
AM,1302009,Itapiranga,9.29,
AM,1302108,Japurá,9.76,
AM,1302207,Juruá,7.28,
AM,1302306,Jutaí,5.5,
AM,1302405,Lábrea,8.92,
AM,1302504,Manacapuru,9.66,
AM,1302553,Manaquiri,7.55,
AM,1302603,Manaus,10.7,
AM,1302702,Manicoré,8.1,
AM,1302801,Maraã,16.36,
AM,1302900,Maués,4.12,
AM,1303007,Nhamundá,14.04,
AM,1303106,Nova Olinda do Norte,5.6,
AM,1303205,Novo Airão,5.66,
AM,1303304,Novo Aripuanã,9.01,
AM,1303403,Parintins,8.39,
AM,1303502,Pauini,10.44,
AM,1303536,Presidente Figueiredo,5.63,
AM,1303569,Rio Preto da Eva,16.24,
AM,1303601,Santa Isabel do Rio Negro,6.24,
AM,1303700,Santo Antônio do Içá,7.04,
AM,1303809,São Gabriel da Cachoeira,4.39,
AM,1303908,São Paulo de Olivença,3.7,
AM,1303957,São Sebastião do Uatumã,1.84,
AM,1304005,Silves,10.2,
AM,1304062,Tabatinga,7.84,
AM,1304104,Tapauá,5.08,
AM,1304203,Tefé,6.91,
AM,1304237,Tonantins,5.45,
AM,1304260,Uarini,1.6,
AM,1304302,Urucará,6.49,
AM,1304401,Urucurituba,9.01,
AP,1600055,Serra do Navio,16.59,
AP,1600105,Amapá,14.29,
AP,1600154,Pedra Branca do Amaparí,8.96,
AP,1600204,Calçoene,11,
AP,1600212,Cutias,10.19,
AP,1600238,Ferreira Gomes,12.14,
AP,1600253,Itaubal,17.65,
AP,1600279,Laranjal do Jari,10.93,
AP,1600303,Macapá,11.18,
AP,1600402,Mazagão,5.81,
AP,1600501,Oiapoque,7.78,
AP,1600535,Porto Grande,12.97,
AP,1600550,Pracuúba,5.46,
AP,1600600,Santana,13.73,
AP,1600709,Tartarugalzinho,8.99,
AP,1600808,Vitória do Jari,18.72,
BA,2900108,Abaíra,7.91,
BA,2900207,Abaré,13.61,
BA,2900306,Acajutiba,7.82,
BA,2900355,Adustina,6.99,
BA,2900405,Água Fria,8.9,
BA,2900504,Érico Cardoso,3.88,
