População  residente - rural
Sigla,Código,Município,2010,
AC,1200013,Acrelândia,6622,
AC,1200054,Assis Brasil,2372,
AC,1200104,Brasiléia,7141,
AC,1200138,Bujari,4778,
AC,1200179,Capixaba,4869,
AC,1200203,Cruzeiro do Sul,23181,
AC,1200252,Epitaciolândia,4482,
AC,1200302,Feijó,15776,
AC,1200328,Jordão,4305,
AC,1200336,Mâncio Lima,6456,
AC,1200344,Manoel Urbano,2703,
AC,1200351,Marechal Thaumaturgo,10258,
AC,1200385,Plácido de Castro,6827,
AC,1200393,Porto Walter,5853,
AC,1200401,Rio Branco,27493,
AC,1200427,Rodrigues Alves,10074,
AC,1200435,Santa Rosa do Purus,2799,
AC,1200450,Senador Guiomard,7476,
AC,1200500,Sena Madureira,12917,
AC,1200609,Tarauacá,16239,
AC,1200708,Xapuri,5761,
AC,1200807,Porto Acre,12898,
AL,2700102,Água Branca,14276,
AL,2700201,Anadia,8475,
AL,2700300,Arapiraca,32525,
AL,2700409,Atalaia,21865,
AL,2700508,Barra de Santo Antônio,988,
AL,2700607,Barra de São Miguel,1053,
AL,2700706,Batalha,5034,
AL,2700805,Belém,2679,
AL,2700904,Belo Monte,5859,
AL,2701001,Boca da Mata,8326,
AL,2701100,Branquinha,3910,
AL,2701209,Cacimbinhas,4793,
AL,2701308,Cajueiro,3925,
AL,2701357,Campestre,1058,
AL,2701407,Campo Alegre,28655,
AL,2701506,Campo Grande,4847,
AL,2701605,Canapi,11712,
AL,2701704,Capela,4427,
AL,2701803,Carneiros,3588,
AL,2701902,Chã Preta,2658,
AL,2702009,Coité do Nóia,7189,
AL,2702108,Colônia Leopoldina,4700,
AL,2702207,Coqueiro Seco,553,
AL,2702306,Coruripe,6087,
AL,2702355,Craíbas,15313,
AL,2702405,Delmiro Gouveia,13242,
AL,2702504,Dois Riachos,5795,
AL,2702553,Estrela de Alagoas,13222,
AL,2702603,Feira Grande,17900,
AL,2702702,Feliz Deserto,864,
AL,2702801,Flexeiras,4308,
AL,2702900,Girau do Ponciano,25302,
AL,2703007,Ibateguara,5814,
AL,2703106,Igaci,19004,
AL,2703205,Igreja Nova,18517,
AL,2703304,Inhapi,11199,
AL,2703403,Jacaré dos Homens,2381,
AL,2703502,Jacuípe,2642,
AL,2703601,Japaratinga,4446,
AL,2703700,Jaramataia,2645,
AL,2703759,Jequiá da Praia,9150,
AL,2703809,Joaquim Gomes,8098,
AL,2703908,Jundiá,1375,
AL,2704005,Junqueiro,16033,
AL,2704104,Lagoa da Canoa,9085,
AL,2704203,Limoeiro de Anadia,24746,
AL,2704302,Maceió,670,
AL,2704401,Major Isidoro,9591,
AL,2704500,Maragogi,10124,
AL,2704609,Maravilha,5147,
AL,2704708,Marechal Deodoro,2585,
AL,2704807,Maribondo,3641,
AL,2704906,Mar Vermelho,2014,
AL,2705002,Mata Grande,19024,
AL,2705101,Matriz de Camaragibe,1689,
AL,2705200,Messias,1419,
AL,2705309,Minador do Negrão,3023,
AL,2705408,Monteirópolis,4420,
AL,2705507,Murici,4602,
AL,2705606,Novo Lino,4732,
AL,2705705,Olho d'Água das Flores,6375,
AL,2705804,Olho d'Água do Casado,4464,
AL,2705903,Olho d'Água Grande,3754,
AL,2706000,Olivença,7910,
AL,2706109,Ouro Branco,4032,
AL,2706208,Palestina,1875,
AL,2706307,Palmeira dos Índios,18758,
AL,2706406,Pão de Açúcar,13042,
AL,2706422,Pariconha,7468,
AL,2706448,Paripueira,1298,
AL,2706505,Passo de Camaragibe,7535,
AL,2706604,Paulo Jacinto,2518,
AL,2706703,Penedo,15358,
AL,2706802,Piaçabuçu,6767,
AL,2706901,Pilar,1504,
AL,2707008,Pindoba,1229,
AL,2707107,Piranhas,9856,
AL,2707206,Poço das Trincheiras,11829,
AL,2707305,Porto Calvo,5511,
AL,2707404,Porto de Pedras,3631,
